PELÍCULA;;;;;;COMENTARIOS;;
Título;Año;Estrellas;Género;Duración;Reseña;ComTexto;Calificación;ComFechaHora
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";tambien me encanto la pelicula tu comentario es genial.;5;2014-02-14 01:00:11.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";la mejor peli que vi no hay ninguna cosa mejor que eso y lo mejor es que es en lego y espero que hagan la gran aventura lego 2 o 3 o 4.;5;2014-02-14 00:53:03.000
La gran aventura Lego;2014;0;Animación-Aventura;100';"Emmet, una minifigura LEGO perfectamente común y respetuoso de las reglas, es confundido por error con El Especial, la persona más extraordinaria y la clave para salvar al mundo. Lo reclutan en una sociedad de extra&ntilde;os que tiene la misión épica de detener a un tirano malvado, un viaje para el cual Emmet no está para nada preparado y, por lo tanto, no tiene esperanza alguna de que algo salga bien.";Excelente pelicula. Seguramente sea una de las sopresas del año. Lo que en principio pareció un mero vehículo para aumentar la venta de Legos, se termino por convertir en una vertiginosa aventura, que a pesar de demorar unos minutos en arrancar, una vez que despega te atrapa totalmente. Excelentes gags visuales y guiños para los más grandes. Incluso sobre el final hay una vuelta de tuerca muy imaginativa, que le agrega corazón y sentimiento a la aventura. Muy recomndable.;4;2014-02-10 17:22:56.000
Código Sombra: Jack Ryan;2014;0;Acción-Thriller;105';En el corazón invernal de Moscú, un oligarca ruso (Kenneth Branagh) está a punto de desencadenar un sofisticado pero salvaje acto terrorista basado en las finanzas y que podría hacer caer a los Estados Unidos. Mientras tanto, en Wall Street, el agente secreto de la CIA Jack Ryan (Chris Pine) está a punto de asumir su primera misión de campo, la cual le hará pasar instantáneamente y sin previo aviso de un trabajo burocrático a meterse tan de lleno en las sombras que ya no volverá a estar seguro de quién es un amigo y quién un mortífero enemigo.;Pelicula propaganda. Resumen de la trama: USA son unos fenomenos, que erraron el 11/9 pero no se la hacen más. Y ahora están preparados para todo. Por momentos comica de lo ridiculo de las situaciones y los esterotipos que maneja (ruso y borracho, quien lo hubiera imaginado!?);1;2014-03-07 14:20:51.000
Código Sombra: Jack Ryan;2014;0;Acción-Thriller;105';En el corazón invernal de Moscú, un oligarca ruso (Kenneth Branagh) está a punto de desencadenar un sofisticado pero salvaje acto terrorista basado en las finanzas y que podría hacer caer a los Estados Unidos. Mientras tanto, en Wall Street, el agente secreto de la CIA Jack Ryan (Chris Pine) está a punto de asumir su primera misión de campo, la cual le hará pasar instantáneamente y sin previo aviso de un trabajo burocrático a meterse tan de lleno en las sombras que ya no volverá a estar seguro de quién es un amigo y quién un mortífero enemigo.;Muy buena pelicula de accion.;4;2014-03-03 01:10:27.000
Código Sombra: Jack Ryan;2014;0;Acción-Thriller;105';En el corazón invernal de Moscú, un oligarca ruso (Kenneth Branagh) está a punto de desencadenar un sofisticado pero salvaje acto terrorista basado en las finanzas y que podría hacer caer a los Estados Unidos. Mientras tanto, en Wall Street, el agente secreto de la CIA Jack Ryan (Chris Pine) está a punto de asumir su primera misión de campo, la cual le hará pasar instantáneamente y sin previo aviso de un trabajo burocrático a meterse tan de lleno en las sombras que ya no volverá a estar seguro de quién es un amigo y quién un mortífero enemigo.;Otro film de accion sostenido por Kevin Costner y el empeño de su protagonista principal, recomendado solo para los aficionados de este tipo de peliculas.;2;2014-03-02 22:31:01.000
La leyenda de Hércules;2014;0;Acción-Fantasía;99';A partir de las ilustres historias de la mitología griega, donde los mortales y los dioses se enfrentaban, La leyenda de Hércules reinventa los orígenes del épico héroe y plantea su historia legendaria y mística desde la perspectiva de un joven que lucha contra su destino. Traicionado por su padrastro, el Rey, exiliado y vendido como esclavo a causa de un amor prohibido, Hércules deberá usar sus formidables poderes para recuperar su lugar y su honor.;Un bayago, no gasten un peso en esto.;1;2014-03-05 00:25:22.000
La leyenda de Hércules;2014;0;Acción-Fantasía;99';A partir de las ilustres historias de la mitología griega, donde los mortales y los dioses se enfrentaban, La leyenda de Hércules reinventa los orígenes del épico héroe y plantea su historia legendaria y mística desde la perspectiva de un joven que lucha contra su destino. Traicionado por su padrastro, el Rey, exiliado y vendido como esclavo a causa de un amor prohibido, Hércules deberá usar sus formidables poderes para recuperar su lugar y su honor.;Qué nos queda si a Spartacus le sacamos la sangre y el sexo? Esto.;2;2014-02-12 08:54:21.000
La leyenda de Hércules;2014;0;Acción-Fantasía;99';A partir de las ilustres historias de la mitología griega, donde los mortales y los dioses se enfrentaban, La leyenda de Hércules reinventa los orígenes del épico héroe y plantea su historia legendaria y mística desde la perspectiva de un joven que lucha contra su destino. Traicionado por su padrastro, el Rey, exiliado y vendido como esclavo a causa de un amor prohibido, Hércules deberá usar sus formidables poderes para recuperar su lugar y su honor.;"Bastante entretenida y absolutamente olvidable. Una mezcla de ""Gladiador"" con ""300"". Si se quiere pasar un rato ameno hay que ir con muy pocas expectativas.";2;2014-02-10 12:05:14.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;pelicula aburrida en algunas ecsenas pero con muy buenos efectos;3;2014-04-17 22:40:48.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Excelente, como todas las películas de Marvel, como dice Fabián el tiempo pasa y ni lo notas, buena trama, mucha acción, excelentes efectos, 2 consejos: fui al Nuevo Centro y quedé impresionado con las salas, de las mejores: la distribución de las butacas y la comodidas, el sonido...lo otro quédense sentados cuando termina...saludos;5;2014-04-14 13:09:30.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;la rompe;5;2014-04-12 14:44:02.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Excelente pelicula desde todo punto de vistas, te atrapa de principio a fin, los 128' pasan volando.;4;2014-04-11 14:23:53.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Cumple sobradamente lo que promete. Y no hablo de efectos especiales ni de tecnología ficticia. Hablo de trama sorprendente y personajes interesantes. Ahora, la 1 tenía claramente mucho más humor blanco, el de ésta es negro, o más bien oscuro.  Y me estoy hartando de tantas películas de conspiración. Prefiero las del científico loco, como la 1 y las Iron Man.;4;2014-04-08 21:55:33.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;muy buena, pero el 3d aun no esta bien logrado, no se nota,son muy pocas las peliculas en que si vale la pena ...;4;2014-04-08 20:01:45.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Excelente película! Un enfoque distinto a lo que nos tienen acostumbrados las películas de superhéroes, más de conspiración política, espionaje y thriller que acción fantástica y efectista. Infinitamente superior a la primera, nos muestra más profundidad en los personajes, mejores actuaciones también, con dejos de comedia, algo que nos acostumbramos a ver en las últimas películas de Marvel. Quedé gratamente sorprendido, muy recomendable!;5;2014-04-08 13:56:16.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;No me gusto, mejor la primera. Reconozco las buenas escenas de lucha, pero en general me decepciono, lo mejor la escena del ascensor, un derroche de piñas y patadas muy bien enganchadas.;2;2014-03-30 20:57:58.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Floja, por debajo de Iron Man 3.;2;2014-03-30 20:06:37.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;"Excelente pelicula.y en cuanto al cine gran prix me sorprendio.imagen y sonido de primera en una gran pantalla como las de antes  2d pero usando pantalla semi curva de ultima tecnologia (increible)mas sonido 6.1 de alta fidelidad como los mejores cines del mundo.felicitaciones.mucho mejor que el resto de las salas de montevideo y a la mitad de precio la entrada.lastima que esto no se valore por el pueblo uruguayo;que solo colabora con las multinacionales que se llevan la plata de nuestro pais dandonos muchas veces una pecima relacion costo calidad";5;2014-03-30 08:27:42.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;Me ha gustado mas de lo que yo esperaba, no creí que la fuera a disfrutar tanto, la verdad que salí de la sala totalmente conforme con lo que vi, para mi ésta es muy superior que su antecesora, hay gran abundancia de tiros y explosiones y las escenas de combate cuerpo a cuerpo están muy bien realizadas. De lo mejor que he visto de Marvel desde que sacaron Los Vengadores.;4;2014-03-30 01:25:52.000
Capitán América y el Soldado del Invierno;2014;0;Acción-Ciencia ficción;128';Después de los catastróficos acontecimientos ocurridos en Nueva York con Los Vengadores, Steve Rogers, alias el Capitán América (Chris Evans), se encuentra viviendo tranquilamente en Washington D.C. e intentando adaptarse al mundo moderno. Pero cuando un colega de S.H.I.E.L.D. se ve amenazado, Steve suma fuerzas con Black Widow (Scarlett Johansson) para desenmascarar una conspiración que amenaza la paz mundial. Con la ayuda de un nuevo aliado, The Falcon (Anthony Mackie), pronto se encontrarán luchando contra un enemigo colosal e inesperado: el Soldado del Invierno.;"La fase 2 de Marvel está pisando muy fuerte y con este excepcional film lo demuestra. Se nota que están inclinando la saga a un tono más serio,  ya que gran parte de este film muestra una visión de ""Thriller Político"". Igualmente,  su punto fuerte es la acción que se nos presenta en grandes dosis, incluso más que en ""The Avengers"". Con varias sorpresas en su historia.  Actuaciones muy buenas con más profundidad en sus personajes y destacando a las nuevas caras. Una excelente película para los amantes de los cómics de Marvel y una buena película de acción para los recién llegados. Calentando los motores para ""Avengers - Age of Ultron"" el próximo año.";5;2014-03-28 16:41:56.000
RoboCop (2014);2014;0;Acción-Ciencia ficción;108';"Es el a&ntilde;o 2028 y OmniCorp es la compa&ntilde;ía líder mundial en tecnología robótica, una tecnología que gana guerras en todo el mundo. Alex Murphy (Joel Kinnaman) es un esposo, padre y policía que hace todo lo posible para detener la ola de crimen y corrupción en Detroit cuando cae gravemente herido en el cumplimiento de su deber. OmniCorp utilizará su extraordinaria robótica para salvar la vida de Alex en busca de una nueva oportunidad de imponer su poder. Es así que Alex regresa a la acción convertido en RoboCop: mitad hombre, mitad robot.";"Hay gente que quiere que las remakes sean una toma cuadro a cuadro del original, como la remake de PSICOSIS. Es decir, quieren una ""remasterizacion"" de carne y hueso. Por favor... yo ya vi la original de Verhoeven y desde luego es una joyita insuperable ( como EL QUINTO HOMBRE o STARSHIP TROOPERS) pero si pago una remake quiero ver la idea original reinventada. En ese sentido esta remake tiene meritos propios: enlaza con el abuso de drones que es un tema actual, mantiene el humor negro de la original, es oscura ( Robocop nunca fue un heroe para todo publico) y por monentos dificil de digerir ( la escena en que le quitan los accesorios causa mareos) , y Samuel Jackson esta impresionante como siempre. De lo que hay de ciencia ficcion ahora es mejor que ENDERS GAME,es mejor DESPUES DE LA TIERRA, y es 100% disfrutable para el. que entiende que no es "" cine serio"" sino cine destinado al entretenimento.";5;2014-03-05 02:36:42.000
RoboCop (2014);2014;0;Acción-Ciencia ficción;108';"Es el a&ntilde;o 2028 y OmniCorp es la compa&ntilde;ía líder mundial en tecnología robótica, una tecnología que gana guerras en todo el mundo. Alex Murphy (Joel Kinnaman) es un esposo, padre y policía que hace todo lo posible para detener la ola de crimen y corrupción en Detroit cuando cae gravemente herido en el cumplimiento de su deber. OmniCorp utilizará su extraordinaria robótica para salvar la vida de Alex en busca de una nueva oportunidad de imponer su poder. Es así que Alex regresa a la acción convertido en RoboCop: mitad hombre, mitad robot.";"Muy, pero muy lejos de la calidad de divertimento que tiene la original. Podría calificarsele de ""distinta"", porque anula casi todo lo planteado por Verhoeven en la pelicula de 1987. Aca la tecnologia no falla, es totalmente funcional y mucho más estética. Los ED-209 no matan personas inocentes y son mucho mas ""lindos"". Todo luce a mas refinado y tecnológico, pero nada de eso la hace mas emotiva. Hay demasiada cháchara política sobre si es bueno o no usar robots como policias y mucho drama familiar que frena la trama de acción. Acción que es bien poca -solo 2 o 3 tiroteos en toda la pelicula- filmada sin mostrar mucha sangre ni violencia-.   No puedo decir que es mala, pero si se va esperando ver algo parecido a la de Verhoeven, causará una decepción segura.";3;2014-03-02 18:03:47.000
